ano,ata,tipo,url
2010,932ª Sessão – 23.2.2010,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-932.pdf
2010,933ª Sessão – 6.4.2010,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-933.pdf
2010,934ª Sessão – 14.9.2010,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-934.pdf
2010,935ª Sessão – 9.11.2010,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-935.pdf
2010,936ª Sessão – 16.11.2010,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-936.pdf
2010,937ª Sessão – 14.12.2010,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-937.pdf
2010,938ª Sessão – 14.12.2010,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-938.pdf
2011,939ª Sessão – 1º.3.2011,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-939.pdf
2011,940ª Sessão – 10.5.2011,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-940.pdf
2011,941ª Sessão – 28.6.2011,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-941.pdf
2011,942ª Sessão – 5.7.2011,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-942.pdf
2011,943ª Sessão – 18.10.2011,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-943.pdf
2011,944ª Sessão – 13.12.2011,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-944.pdf
2012,945ª Sessão – 23.2.2012,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-945.pdf
2012,946ª Sessão – 20.6.2012,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-946.pdf
2012,947ª Sessão – 26.6.2012,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-947.pdf
2012,948ª Sessão – 25.9.2012,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-948.pdf
2012,949ª Sessão – 18.12.2012,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-949.pdf
2013,950ª Sessão – 26.3.2013,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Co-26.3.2013.pdf
2013,951ª Sessão – 2.7.2013,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_951_2.7.2013.pdf
2013,952ª Sessão – 1º.10.2013,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Co-1.10.2013.pdf
2014,953ª Sessão – 11.2.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/ata_9533.pdf
2014,954ª Sessão – 25.2.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_954.pdf
2014,955ª Sessão – 25.3.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_955.pdf
2014,956ª Sessão – 20.5.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/1.Ata_Co-200514-completa2.pdf
2014,957ª Sessão – 3.6.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/2.Ata_Co-030614-completa1.pdf
2014,958ª Sessão – 26.8.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-958_26.8.2014_corrigida.pdf
2014,959ª Sessão – 2.9.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/4.Ata_Co-020914-completa1.pdf
2014,960ª Sessão – 16.9.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/5.Ata_Co-160914-completa1.pdf
2014,961ª Sessão – 11.11.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-111114-Completa1.pdf
2014,962ª Sessão – 18.11.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-962_18.11.2014_corrigida.pdf
2014,963ª Sessão – 9.12.2014,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/ata963_20150226160855.pdf
2015,964ª Sessão – 3.3.2015,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-030315-Completa.pdf
2015,965ª Sessão – 7.4.2015,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-070415-Completa.pdf
2015,966ª Sessão – 14.4.2015,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Co-140415-Completa_2.pdf
2015,967ª Sessão – 19.5.2015,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/ATA-DA-967_20150820174512.pdf
2015,968ª Sessão – 23.6.2015,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/ATA-DA-968_23.6.20151.pdf
2015,969ª Sessão – 25.8.2015,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_Co_25.08.15.pdf
2015,970ª Sessão – 13.10.2015,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Co-13.10.152.pdf
2015,971ª Sessão – 10.11.2015,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Co-10.11.20152.pdf
2015,972ª Sessão – 8.12.2015,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_Co-08-12-15-Completa2.pdf
2016,973ª Sessão – 1º.3.2016,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Completa-0103161.pdf
2016,974ª Sessão – 19.4.2016,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-19.041.pdf
2016,975ª Sessão – 24.5.2016,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Co-24.051.pdf
2016,976ª Sessão – 12.7.2016,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Completa-12071621.pdf
2016,977ª Sessão – 4.10.2016,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_Co-4.10.16.pdf
2016,978ª Sessão – 8.11.2016,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-978_8.11.2016.pdf
2016,979ª Sessão – 6.12.2016,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Co_6.12.20161.pdf
2017,980ª – Sessão de 7.3.2017,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Co-07.03.17.pdf
2017,981ª – Sessão de 11.4.2017,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_Co.11.04.2017_FINAL.pdf
2017,982ª – Sessão de 30.5.2017,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Completa-Co-30.05.pdf
2017,983ª – Sessão de 4.7.2017,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata-Co-04.07.2017_Completa.pdf
2017,984ª – Sessão de 26.9.2017,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_Co-26.9.2017.pdf
2017,985ª – Sessão de 21.11.2017,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_Co-21.11.2017.pdf
2017,986ª – Sessão de 28.11.2017,Atas Co,http://www.usp.br/secretaria/wp-content/uploads/Ata_Co_28.11.2017.pdf
